Global Volcanism Program - Volcanoes of the World 5.1.7,,,,Downloaded on 30 May 2024 at 03:42 PM,,,,,,,,,,,,,,,,,,,
Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
341040,Colima,22323,Confirmed Eruption,,1,,,2019,,5,,11,,Observations: Reported,,2019,,7,,12,,19.514,-103.62
311060,Semisopochnoi,22289,Confirmed Eruption,,1,,,2018,,9,,8,,Observations: Reported,,2018,,10,,31,,51.93,179.58
312070,Veniaminof,22290,Confirmed Eruption,,1,,,2018,,9,,4,,Observations: Reported,,2018,,12,,23,,56.17,-159.38
311120,Great Sitkin,22276,Confirmed Eruption,,1,,,2018,,6,,10,,Observations: Reported,,2018,,8,,11,,52.076,-176.13
311300,Bogoslof,22182,Confirmed Eruption,"Central vent, just below sea level",3,,,2016,,12,,20,,Observations: Reported,,2017,,8,,30,,53.93,-168.03
311240,Cleveland,22128,Confirmed Eruption,Summit crater,2,,,2016,,4,,16,,Observations: Reported,,2019,,1,,16,,52.825,-169.944
312030,Pavlof,22129,Confirmed Eruption,Summit crater,2,,,2016,,3,,27,,Observations: Reported,,2016,,7,,30,,55.417,-161.894
312030,Pavlof,20975,Confirmed Eruption,Vent just N of summit and N flank,3,,,2014,,11,,12,,Observations: Reported,,2014,,11,,15,,55.417,-161.894
312030,Pavlof,20909,Confirmed Eruption,NE flank,3,,,2014,,5,,31,,Observations: Reported,,2014,,6,,6,,55.417,-161.894
284141,Ahyi,20936,Confirmed Eruption,Summit crater and SE slope,2,,,2014,,4,,24,,Observations: Hydrophonic,,2014,,5,,17,,20.42,145.03
311360,Shishaldin,20937,Confirmed Eruption,Summit crater,1,,,2014,,1,,30,,Observations: Reported,,2015,,7,,3,,54.756,-163.97
312070,Veniaminof,20836,Confirmed Eruption,Western intracaldera cone and SE flank,3,,,2013,,6,,13,,Observations: Reported,,2013,,10,,12,1,56.17,-159.38
312030,Pavlof,20807,Confirmed Eruption,Summit crater,3,,,2013,,5,,13,,Observations: Reported,,2013,,6,,26,,55.417,-161.894
284305,Mariana Back-Arc Segment at 15.5°N,21102,Confirmed Eruption,"Along a 10 km N-S line at 15.4°N, in the Mariana back-arc",0,,>,2013,,2,,13,,Observations: Reported,<,2015,,12,,1,,15.406,144.506
341040,Colima,20759,Confirmed Eruption,Summit crater,3,,,2013,,1,,6,,Observations: Reported,,2017,,3,,7,,19.514,-103.62
284170,Pagan,20804,Confirmed Eruption,North Pagan,2,,,2012,,7,,10,,Observations: Reported,,2012,,7,,10,,18.13,145.8
311110,Kanaga,20774,Confirmed Eruption,E-W fissure at summit crater,2,,,2012,,2,,18,,Observations: Reported,,2012,,2,,18,,51.923,-177.168
311240,Cleveland,20758,Confirmed Eruption,Summit crater,2,,,2011,,7,,19,7,Observations: Reported,,2015,,8,,18,,52.825,-169.944
284170,Pagan,20803,Confirmed Eruption,North Pagan,2,,,2011,,4,?,23,,Observations: Reported,,2011,,9,?,1,,18.13,145.8
311240,Cleveland,19819,Confirmed Eruption,Summit crater,2,,,2010,,5,,30,,Observations: Reported,,2010,,6,?,2,,52.825,-169.944
284193,South Sarigan Seamount,18529,Confirmed Eruption,"Northern summit cone, 184 m below sea level",3,?,,2010,,5,,27,,Observations: Reported,,2010,,5,,29,,16.58,145.78
284170,Pagan,18524,Confirmed Eruption,North Pagan,1,,,2010,,5,,3,,Observations: Reported,,2010,,8,,11,,18.13,145.8
311240,Cleveland,19828,Confirmed Eruption,,2,,,2009,,10,,2,,Observations: Reported,,2009,,12,?,12,,52.825,-169.944
311240,Cleveland,19827,Confirmed Eruption,,2,,,2009,,6,,25,,Observations: Reported,,2009,,6,,25,,52.825,-169.944
313030,Redoubt,20391,Confirmed Eruption,South of 1990 dome,3,,,2009,,3,,15,,Observations: Reported,,2009,,7,,1,30,60.485,-152.742
311240,Cleveland,19826,Confirmed Eruption,,2,,,2009,,1,,2,,Observations: Reported,,2009,,1,,21,,52.825,-169.944
311130,Kasatochi,19745,Confirmed Eruption,,4,,,2008,,8,,7,,Observations: Reported,,2008,,8,?,9,,52.177,-175.508
311290,Okmok,19852,Confirmed Eruption,NE caldera floor,4,?,,2008,,7,,12,,Observations: Reported,,2008,,8,,19,,53.43,-168.13
312070,Veniaminof,20178,Confirmed Eruption,Western intracaldera cone,1,,,2008,,2,,22,,Observations: Reported,,2008,,3,,1,,56.17,-159.38
284200,Anatahan,18538,Confirmed Eruption,,2,,,2007,,11,,27,3,Observations: Reported,,2008,,8,?,9,,16.35,145.67
312030,Pavlof,20153,Confirmed Eruption,,2,,,2007,,8,,15,,Observations: Reported,,2007,,9,,13,,55.417,-161.894
311240,Cleveland,19825,Confirmed Eruption,,2,?,,2007,,6,?,17,,Observations: Reported,,2008,,8,?,12,,52.825,-169.944
284170,Pagan,18522,Confirmed Eruption,North Pagan,1,,,2006,,12,,4,,Observations: Reported,,2006,,12,,8,,18.13,145.8
311160,Atka Volcanic Complex,19768,Confirmed Eruption,,1,,,2006,,11,,25,5,Observations: Reported,,2007,,3,<,3,,52.331,-174.139
312260,Fourpeaked,20250,Confirmed Eruption,Fissure trending N from summit,2,,,2006,,9,,17,,Observations: Reported,,2006,,9,,17,,58.77,-153.672
284200,Anatahan,18537,Confirmed Eruption,East Crater,2,,,2006,,3,?,20,,Observations: Reported,,2006,,6,?,26,,16.35,145.67
312070,Veniaminof,20177,Confirmed Eruption,Western intracaldera cone,1,,,2006,,3,,3,,Observations: Reported,,2006,,9,,7,,56.17,-159.38
311240,Cleveland,19818,Confirmed Eruption,,3,,,2006,,2,,6,,Observations: Reported,,2006,,10,,28,,52.825,-169.944
313010,Augustine,20273,Confirmed Eruption,,3,,,2005,,12,?,9,,Observations: Reported,,2006,,4,?,27,,59.3626,-153.435
312070,Veniaminof,20176,Confirmed Eruption,Western intracaldera cone,1,,,2005,,9,,7,,Observations: Reported,,2005,,11,?,4,,56.17,-159.38
311240,Cleveland,19817,Confirmed Eruption,,2,,,2005,,3,?,13,,Observations: Reported,,2005,,11,,27,1,52.825,-169.944
311160,Atka Volcanic Complex,19767,Confirmed Eruption,,1,,,2005,,2,,23,,Observations: Reported,,2005,,5,,5,4,52.331,-174.139
341090,Popocatepetl,10556,Confirmed Eruption,,2,,,2005,,1,,9,,Observations: Reported,>,2024,,4,,19,,19.023,-98.622
312070,Veniaminof,20175,Confirmed Eruption,Western intracaldera cone,2,,,2005,,1,,4,,Observations: Reported,,2005,,2,,14,3,56.17,-159.38
321050,St. Helens,20560,Confirmed Eruption,South of 1980-1986 lava dome,2,,,2004,,10,,1,,Observations: Reported,,2008,,1,,27,10,46.2,-122.18
311160,Atka Volcanic Complex,19766,Confirmed Eruption,,1,?,,2004,,7,<,4,,Observations: Reported,,,,,,,,52.331,-174.139
341090,Popocatepetl,10552,Confirmed Eruption,,2,,,2004,,5,,26,,Observations: Reported,,2004,,5,,26,,19.023,-98.622
284200,Anatahan,18536,Confirmed Eruption,East Crater,3,?,,2004,,4,<,12,,Observations: Reported,,2005,,9,?,3,,16.35,145.67
311360,Shishaldin,20100,Confirmed Eruption,,2,,,2004,,2,,17,,Observations: Reported,,2004,,7,>,16,15,54.756,-163.97
312070,Veniaminof,20174,Confirmed Eruption,Western intracaldera cone,2,,,2004,,2,,16,,Observations: Reported,,2004,,9,,5,4,56.17,-159.38
284211,NW Rota-1,18539,Confirmed Eruption,Upper South flank (Brimstone Pit),0,,?,2003,,7,,2,182,Observations: Reported,,2010,,3,>,16,15,14.601,144.775
284200,Anatahan,18535,Confirmed Eruption,East Crater,3,,,2003,,5,,10,,Observations: Reported,,2003,,7,,12,3,16.35,145.67
244000,Vailulu'u,14803,Confirmed Eruption,West side of caldera (Nafanua),0,,,2003,2,4,,16,15,Observations: Reported,,,,,,,,-14.215,-169.058
312070,Veniaminof,20173,Confirmed Eruption,Western intracaldera cone,1,,,2002,,9,,24,,Observations: Reported,,2003,,3,,23,,56.17,-159.38
311160,Atka Volcanic Complex,19765,Confirmed Eruption,,1,?,,2002,,7,<,16,15,Observations: Reported,,,,,,,,52.331,-174.139
284141,Ahyi,18474,Confirmed Eruption,"S of Ahyi (20.34 N, 145.02 E)",0,,,2001,,4,,24,,Observations: Hydrophonic,,2001,,4,,25,,20.42,145.03
311240,Cleveland,19816,Confirmed Eruption,,3,?,,2001,,2,<,2,,Observations: Reported,,2001,,4,?,15,,52.825,-169.944
311360,Shishaldin,20097,Confirmed Eruption,,3,,,1999,,3,,13,,Observations: Reported,,1999,,5,,27,,54.756,-163.97
311360,Shishaldin,20096,Confirmed Eruption,,1,,,1998,,11,,4,,Observations: Reported,,1998,,11,,4,,54.756,-163.97
312110,Chiginagak,20199,Confirmed Eruption,,1,,,1998,,8,,13,,Observations: Reported,,1998,,8,?,13,,57.135,-156.99
311160,Atka Volcanic Complex,19764,Confirmed Eruption,,3,,,1998,,5,,8,1,Observations: Reported,,1998,,7,?,8,,52.331,-174.139
341040,Colima,10475,Confirmed Eruption,1994 crater,3,,,1997,,11,,22,,Observations: Reported,,2011,,6,,21,,19.514,-103.62
311360,Shishaldin,20095,Confirmed Eruption,,1,,,1997,,6,,2,,Observations: Reported,,1997,,6,,2,,54.756,-163.97
311240,Cleveland,19815,Confirmed Eruption,,2,?,,1997,,5,,5,,Observations: Reported,,1997,,5,,5,,52.825,-169.944
311190,Amukta,19790,Confirmed Eruption,,1,,,1997,,3,,3,,Observations: Reported,,,,,,,,52.5,-171.252
311290,Okmok,19851,Confirmed Eruption,SW part of caldera (Cone A),3,,,1997,,2,,11,,Observations: Reported,,1997,,5,,19,4,53.43,-168.13
311190,Amukta,19789,Confirmed Eruption,,1,,,1996,,9,,17,,Observations: Reported,,1996,,9,,18,,52.5,-171.252
312030,Pavlof,20151,Confirmed Eruption,,2,,,1996,,9,,11,,Observations: Reported,,1997,,1,?,3,,55.417,-161.894
284170,Pagan,18521,Confirmed Eruption,North Pagan,1,,,1996,,7,,2,182,Observations: Reported,,,,,,,,18.13,145.8
341090,Popocatepetl,10551,Confirmed Eruption,,3,,,1996,,3,,5,,Observations: Reported,,2003,,11,?,22,,19.023,-98.622
331031,North Gorda Ridge Segment,20722,Confirmed Eruption,Near center of North Gorda Ridge segment,0,,,1996,,2,?,28,,Observations: Reported,,1996,,3,?,15,,42.67,-126.78
332000,Kama'ehuakanaloa,20732,Confirmed Eruption,,0,,,1996,,2,,25,30,Observations: Reported,,1996,,8,?,9,,18.92,-155.27
311360,Shishaldin,20094,Confirmed Eruption,,3,,,1995,,12,,23,,Observations: Reported,,1996,,5,<,16,,54.756,-163.97
312070,Veniaminof,20172,Confirmed Eruption,Western intracaldera cone,1,,,1995,,11,,15,,Observations: Reported,,1995,,11,?,30,,56.17,-159.38
284202,Ruby,18534,Confirmed Eruption,,0,,,1995,,10,?,11,,Observations: Reported,,1995,,10,,25,,15.605,145.572
311110,Kanaga,19722,Confirmed Eruption,,2,?,,1995,,6,?,19,,Observations: Reported,,1995,,6,?,23,,51.923,-177.168
312070,Veniaminof,20171,Confirmed Eruption,Western intracaldera cone,1,,,1995,,4,,17,,Observations: Reported,,1995,,4,,17,,56.17,-159.38
311310,Makushin,19992,Confirmed Eruption,,1,,,1995,,1,,30,,Observations: Reported,,1995,,1,,30,,53.891,-166.923
244000,Vailulu'u,14802,Confirmed Eruption,,0,,,1995,,1,,9,,Observations: Hydrophonic,,1995,,1,,29,,-14.215,-169.058
341090,Popocatepetl,10550,Confirmed Eruption,,2,,,1994,,12,,21,,Observations: Reported,,1995,,10,,5,,19.023,-98.622
311240,Cleveland,19814,Confirmed Eruption,,1,?,,1994,,10,,20,,Observations: Reported,,1994,,10,,20,,52.825,-169.944
341040,Colima,10474,Confirmed Eruption,West of 1987 explosion crater,1,,,1994,,7,,21,,Observations: Reported,,1994,,7,,21,,19.514,-103.62
311240,Cleveland,19813,Confirmed Eruption,,3,,,1994,,5,,25,,Observations: Reported,,1994,,5,,25,,52.825,-169.944
284141,Ahyi,22533,Confirmed Eruption,,0,,,1994,,4,,23,,Observations: Reported,,,,,,,,20.42,145.03
311110,Kanaga,19721,Confirmed Eruption,,2,,,1994,,1,,5,4,Observations: Reported,,1994,,11,,26,4,51.923,-177.168
311360,Shishaldin,20091,Confirmed Eruption,,2,,,1993,,9,,4,,Observations: Reported,,1993,,10,,29,,54.756,-163.97
311310,Makushin,19991,Confirmed Eruption,,1,,,1993,,8,,16,15,Observations: Reported,,1994,,1,?,19,,53.891,-166.923
312070,Veniaminof,20170,Confirmed Eruption,Western cone and Half Cone,2,,,1993,,7,,30,,Observations: Reported,,1994,,9,?,28,,56.17,-159.38
311180,Seguam,19782,Confirmed Eruption,Near Pyre Peak,2,,,1993,,5,,28,,Observations: Reported,,1993,,8,>,31,,52.315,-172.51
341021,Socorro,10377,Confirmed Eruption,Submarine vent 3 km W of Punta Tosca,0,,,1993,,1,,29,,Observations: Reported,,1994,,2,,24,4,18.78,-110.95
284170,Pagan,18520,Confirmed Eruption,North Pagan,2,,,1993,,1,,15,5,Observations: Reported,,1993,,11,>,16,15,18.13,145.8
311180,Seguam,19781,Confirmed Eruption,Pyre Peak (1.5 km south of summit),2,,,1992,,12,,27,,Observations: Reported,,1992,,12,,30,,52.315,-172.51
311320,Akutan,20038,Confirmed Eruption,,1,,,1992,,12,,18,,Observations: Reported,,,,,,,,54.134,-165.986
311300,Bogoslof,19863,Confirmed Eruption,North tip of island (NE of 1927 dome),3,,,1992,,7,,6,,Observations: Reported,,1992,,7,,24,,53.93,-168.03
313040,Spurr,20399,Confirmed Eruption,South flank (Crater Peak),4,,,1992,,6,,27,,Observations: Reported,,1992,,9,,17,,61.299,-152.251
284170,Pagan,18519,Confirmed Eruption,North Pagan,1,?,,1992,,4,,13,,Observations: Reported,,1992,,4,,13,,18.13,145.8
311320,Akutan,20037,Confirmed Eruption,,2,,,1992,,3,,8,,Observations: Reported,,1992,,5,,21,,54.134,-165.986
311340,Westdahl,20046,Confirmed Eruption,ENE flank (1560-760 m),3,,,1991,,11,,29,,Observations: Reported,,1992,,1,,14,,54.516,-164.65
311320,Akutan,20036,Confirmed Eruption,,2,,,1991,,9,,15,,Observations: Reported,,1991,,10,,29,1,54.134,-165.986
341040,Colima,10473,Confirmed Eruption,,2,,,1991,,3,,1,,Observations: Reported,,1991,,10,,16,15,19.514,-103.62
321050,St. Helens,20559,Confirmed Eruption,North side of lava dome,3,?,,1990,,11,,5,,Observations: Reported,,1991,,2,,14,,46.2,-122.18
311320,Akutan,20035,Confirmed Eruption,,2,,,1990,,9,,6,,Observations: Reported,,1990,,10,,1,,54.134,-165.986
311020,Kiska,19667,Confirmed Eruption,Upper NW? flank,2,,,1990,,6,,1,,Observations: Reported,,1990,,6,?,1,,52.103,177.602
312030,Pavlof,20150,Confirmed Eruption,,2,?,,1990,,3,,5,,Observations: Reported,,1990,,3,,5,,55.417,-161.894
311320,Akutan,20034,Confirmed Eruption,,2,,,1990,,1,,26,5,Observations: Reported,,1990,,1,,26,5,54.134,-165.986
313030,Redoubt,20390,Confirmed Eruption,North end of summit crater (2470 m),3,,,1989,,12,,14,,Observations: Reported,,1990,,6,?,20,,60.485,-152.742
321050,St. Helens,20558,Confirmed Eruption,North side of lava dome,2,,,1989,,12,,7,,Observations: Reported,,1990,,1,,6,,46.2,-122.18
284141,Ahyi,18477,Confirmed Eruption,"SW of Ahyi (~20.3 N, 144.9 E)",0,,,1989,,9,,21,,Observations: Hydrophonic,,1989,,12,,27,,20.42,145.03
311070,Gareloi,19688,Confirmed Eruption,,1,,,1989,,8,,17,,Observations: Reported,,,,,,,,51.79,-178.794
311320,Akutan,20033,Confirmed Eruption,,2,,,1989,,2,,27,,Observations: Reported,,1989,,3,<,28,,54.134,-165.986
284170,Pagan,18518,Confirmed Eruption,North Pagan,2,,,1988,,8,,24,,Observations: Reported,,1988,,10,,12,,18.13,145.8
311320,Akutan,20032,Confirmed Eruption,,2,,,1988,,3,,26,,Observations: Reported,,1988,,7,,20,,54.134,-165.986
284170,Pagan,18516,Confirmed Eruption,North Pagan,1,,,1987,,9,,4,,Observations: Reported,,1987,,9,,4,,18.13,145.8
311190,Amukta,19788,Confirmed Eruption,,1,,,1987,,9,?,4,,Observations: Reported,,,,,,,,52.5,-171.252
311070,Gareloi,19687,Confirmed Eruption,,1,?,,1987,,9,,4,,Observations: Reported,,,,,,,,51.79,-178.794
341040,Colima,10471,Confirmed Eruption,East side of summit lava dome,1,,,1987,,7,,2,,Observations: Reported,,1987,,7,,2,,19.514,-103.62
311240,Cleveland,19811,Confirmed Eruption,,3,,,1987,,6,,19,,Observations: Reported,,1987,,8,,28,,52.825,-169.944
311060,Semisopochnoi,19673,Confirmed Eruption,Sugarloaf ?,2,?,,1987,,4,,13,,Observations: Reported,,,,,,,,51.93,179.58
312070,Veniaminof,20169,Confirmed Eruption,Western intracaldera cone,1,,,1987,,3,,19,,Observations: Reported,,1987,,3,,19,,56.17,-159.38
311160,Atka Volcanic Complex,19762,Confirmed Eruption,,2,,,1987,,3,?,4,,Observations: Reported,,1987,,3,?,19,,52.331,-174.139
311310,Makushin,19990,Confirmed Eruption,,1,,,1987,,3,,2,,Observations: Reported,,1987,,3,,2,,53.891,-166.923
311320,Akutan,20031,Confirmed Eruption,,2,,,1987,,1,,31,,Observations: Reported,,1987,,6,,24,,54.134,-165.986
311290,Okmok,19850,Confirmed Eruption,SW part of caldera (Cone A),2,,,1986,,11,,18,,Observations: Reported,,1988,,2,,26,,53.43,-168.13
311240,Cleveland,19810,Confirmed Eruption,,2,,,1986,,4,,28,,Observations: Reported,,1986,,5,>,27,,52.825,-169.944
312030,Pavlof,20149,Confirmed Eruption,"NNE & SE summit vents, NE & SE flanks",3,,,1986,,4,,16,,Observations: Reported,,1988,,8,,13,,55.417,-161.894
313010,Augustine,20262,Confirmed Eruption,,4,?,,1986,,3,,27,,Observations: Reported,,1986,,8,,31,,59.3626,-153.435
311360,Shishaldin,20090,Confirmed Eruption,,2,,,1986,,3,,19,,Observations: Reported,,1987,,2,?,15,,54.756,-163.97
311320,Akutan,20030,Confirmed Eruption,,2,,,1986,,3,,18,,Observations: Reported,,1986,,6,,30,,54.134,-165.986
341130,Tacana,10621,Confirmed Eruption,NE flank (ca. 3600 m),1,,,1986,,2,,16,15,Observations: Reported,,1986,,6,,16,15,15.132,-92.109
284141,Ahyi,18476,Confirmed Eruption,SW of Ahyi,0,,,1985,,8,,2,,Observations: Hydrophonic,,1985,,9,,5,,20.42,145.03
341040,Colima,10470,Confirmed Eruption,,1,,,1985,,7,,2,182,Observations: Reported,,1986,,1,,5,4,19.514,-103.62
312070,Veniaminof,20168,Confirmed Eruption,Western intracaldera cone,2,,,1984,,11,,29,,Observations: Reported,,1984,,12,?,6,,56.17,-159.38
311240,Cleveland,19808,Confirmed Eruption,,1,,,1984,,7,,12,,Observations: Reported,,1984,,7,,12,,52.825,-169.944
332020,Mauna Loa,10226,Confirmed Eruption,"Moku'aweoweo, SW and NE rift zones",0,,,1984,,3,,25,,Observations: Reported,,1984,,4,,15,,19.475,-155.608
312030,Pavlof,20148,Confirmed Eruption,Upper NNE flank,3,,,1983,,11,,11,,Observations: Reported,,1983,,12,,18,,55.417,-161.894
312030,Pavlof,20147,Confirmed Eruption,,2,?,,1983,,7,,11,,Observations: Reported,,1983,,7,,18,,55.417,-161.894
311290,Okmok,19849,Confirmed Eruption,SW part of caldera (Cone A),2,,,1983,,7,,8,,Observations: Reported,,1983,,7,,8,,53.43,-168.13
312070,Veniaminof,20167,Confirmed Eruption,Western intracaldera cone,3,,,1983,,6,,2,,Observations: Reported,,1984,,4,,17,,56.17,-159.38
332010,Kilauea,10119,Confirmed Eruption,"East rift zone (Puu O'o), Halemaumau",3,,,1983,,1,,3,,Observations: Reported,,2018,,9,,5,,19.421,-155.287
311320,Akutan,20029,Confirmed Eruption,,2,,,1982,,10,,5,4,Observations: Reported,,1983,,5,,16,15,54.134,-165.986
332010,Kilauea,10118,Confirmed Eruption,Kilauea Caldera (SSE of Halemaumau),0,,,1982,,9,,25,,Observations: Reported,,1982,,9,,26,,19.421,-155.287
332010,Kilauea,10117,Confirmed Eruption,Kilauea Caldera (NE of Halemaumau),0,,,1982,,4,,30,,Observations: Reported,,1982,,5,,1,,19.421,-155.287
341120,"Chichon, El",10610,Confirmed Eruption,,5,,,1982,,3,,28,,Observations: Reported,,1982,,9,,11,,17.3602,-93.2297
311070,Gareloi,19686,Confirmed Eruption,,3,,,1982,,1,,15,,Observations: Reported,,1982,,1,,15,,51.79,-178.794
312030,Pavlof,20145,Confirmed Eruption,Upper NNE flank (100 m below summit),3,,,1981,,9,,25,,Observations: Reported,,1981,,9,,27,,55.417,-161.894
284170,Pagan,18515,Confirmed Eruption,North Pagan (summit and north flank),4,,,1981,,5,,15,,Observations: Reported,,1985,,5,>,1,,18.13,145.8
312030,Pavlof,20144,Confirmed Eruption,,1,,,1981,,3,<,30,,Observations: Reported,,1981,,5,,28,,55.417,-161.894
311290,Okmok,19848,Confirmed Eruption,SW part of caldera (Cone A),3,?,,1981,,3,,24,,Observations: Reported,,1981,,3,,24,,53.43,-168.13
312030,Pavlof,20143,Confirmed Eruption,Upper NNE flank,3,,,1980,,11,,8,,Observations: Reported,,1980,,11,,13,,55.417,-161.894
311070,Gareloi,19685,Confirmed Eruption,,3,?,,1980,,8,,7,,Observations: Reported,,1980,,9,,17,,51.79,-178.794
312030,Pavlof,20142,Confirmed Eruption,,1,,,1980,,7,,6,1,Observations: Reported,,,,,,,,55.417,-161.894
311320,Akutan,20028,Confirmed Eruption,,2,,,1980,,7,<,3,,Observations: Reported,,1980,,7,?,8,,54.134,-165.986
311310,Makushin,19988,Confirmed Eruption,SE side of summit,1,,,1980,,5,,1,75,Observations: Reported,,,,,,,,53.891,-166.923
321050,St. Helens,20557,Confirmed Eruption,Summit and north flank,5,,,1980,,3,,27,,Observations: Reported,,1986,,10,,28,3,46.2,-122.18
332010,Kilauea,10116,Confirmed Eruption,East rift zone (near Mauna Ulu),0,,,1980,,3,,11,,Observations: Reported,,1980,,3,,11,,19.421,-155.287
332010,Kilauea,10115,Confirmed Eruption,East rift zone (Pauahi Crater),0,,,1979,,11,,16,,Observations: Reported,,1979,,11,,17,,19.421,-155.287
311360,Shishaldin,20088,Confirmed Eruption,,2,,,1979,,2,,16,15,Observations: Reported,,,,,,,,54.756,-163.97
311320,Akutan,20027,Confirmed Eruption,,2,,,1978,,9,,25,5,Observations: Reported,,1978,,10,,16,15,54.134,-165.986
311360,Shishaldin,20087,Confirmed Eruption,,2,,,1978,,2,,8,,Observations: Reported,,1978,,2,?,9,,54.756,-163.97
311340,Westdahl,20044,Confirmed Eruption,South of Westdahl Peak (1450 m),3,,,1978,,2,,4,,Observations: Reported,,1978,,2,,9,,54.516,-164.65
341040,Colima,10460,Confirmed Eruption,,1,,,1977,,12,,16,15,Observations: Reported,,1982,,6,,16,15,19.514,-103.62
332010,Kilauea,10114,Confirmed Eruption,East rift zone (near Kalalua Crater),0,,,1977,,9,,13,,Observations: Reported,,1977,,10,,1,,19.421,-155.287
312131,Ukinrek Maars,20206,Confirmed Eruption,West and East Ukinrek Maars,3,,,1977,,3,,30,,Observations: Reported,,1977,,4,,9,,57.8344,-156.5203
311180,Seguam,19780,Confirmed Eruption,Pyre Peak (2.5 km SE of summit),1,,,1977,,3,,6,,Observations: Reported,,1977,,3,?,8,,52.315,-172.51
311320,Akutan,20025,Confirmed Eruption,,2,,,1976,,10,,15,45,Observations: Reported,,1977,,5,>,9,,54.134,-165.986
313010,Augustine,20272,Confirmed Eruption,,4,,,1976,,1,?,22,,Observations: Reported,,1977,,5,?,14,,59.3626,-153.435
311360,Shishaldin,20086,Confirmed Eruption,,2,,,1976,,1,,16,15,Observations: Reported,,1976,,9,,28,,54.756,-163.97
341040,Colima,10469,Confirmed Eruption,,2,,,1975,,12,?,11,,Observations: Reported,,1976,,6,,20,,19.514,-103.62
332010,Kilauea,10113,Confirmed Eruption,"Kilauea Caldera, Halemaumau",0,,,1975,,11,,29,,Observations: Reported,,1975,,11,,29,,19.421,-155.287
311360,Shishaldin,20085,Confirmed Eruption,,2,,,1975,,9,,13,,Observations: Reported,,1975,,10,,26,5,54.756,-163.97
312030,Pavlof,20141,Confirmed Eruption,,2,,,1975,,9,,13,,Observations: Reported,,1977,,3,>,16,15,55.417,-161.894
